,title,overview,vote_average,processed_overview
365,Moonlight Murder,an amateur detective gets a chance to test his sleuthing skills when an opera singer is murdered at the hollywood bowl.,6.0,amateur detective get chance test sleuthing skill opera singer murdered hollywood bowl .
366,Facing the Truth,"in his new film, an intriguing and delicately crafted drama, malmros portrays the poignant story of a man, who grew up in very modest circumstances in the early years of the 20th century, but whose diligence, intelligence and willingness to endure hardship helped him to become a leading brain surgeon. a success story on the face of it, but a story about a man - who is none other than the director's father - a man of powerful emotions. the film explores the nature and origin of the guilt that repeatedly deprived him of happiness.",6.7,"new film , intriguing delicately crafted drama , malmros portrays poignant story man , grew modest circumstance early year 20th century , whose diligence , intelligence willingness endure hardship helped become leading brain surgeon . success story face , story man - none director 's father - man powerful emotion . film explores nature origin guilt repeatedly deprived happiness ."
367,The Pillow Book,"as a young girl in japan, nagiko's father paints characters on her face, and her aunt reads to her from ""the pillow book"", the diary of a 10th-century lady-in-waiting. nagiko grows up, obsessed with books, papers, and writing on bodies.",6.9,"young girl japan , nagiko 's father paint character face , aunt read `` pillow book '' , diary 10th-century lady-in-waiting . nagiko grows , obsessed book , paper , writing body ."
368,Drones,"brian dilks is an office drone. he spends his days at omnilink in comforting monotony: facilitating the movement of product around the country, faxing, copying, joking with his best friend, clark, and harmlessly flirting with fellow cubicle-mate, amy. but how well does anyone really know the people they work with? when brian discovers an improbable secret about his best friend, everything in brian’s world changes and his safe life of workplace detachment is no longer an option. shocked out of his mind-numbing routine by this new discovery, brian throws himself into a star-crossed romance with amy––yet close encounters of the office kind, like sales or intergalactic war, is an uncertain business.",5.2,"brian dilks office drone . spends day omnilink comforting monotony : facilitating movement product around country , faxing , copying , joking best friend , clark , harmlessly flirting fellow cubicle-mate , amy . well anyone really know people work ? brian discovers improbable secret best friend , everything brian ’ world change safe life workplace detachment longer option . shocked mind-numbing routine new discovery , brian throw star-crossed romance amy––yet close encounter office kind , like sale intergalactic war , uncertain business ."
369,Eyes Wide Shut,"after dr. bill hartford's wife, alice, admits to having sexual fantasies about a man she met, bill becomes obsessed with having a sexual encounter. he discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",7.1,"dr. bill hartford 's wife , alice , admits sexual fantasy man met , bill becomes obsessed sexual encounter . discovers underground sexual group attends one meeting -- quickly discovers head ."
370,Some Girl(s),"on the eve of his wedding, a successful writer travels around the country to meet up with ex-lovers in an attempt to make amends for his wrongdoings.",5.0,"eve wedding , successful writer travel around country meet ex-lovers attempt make amends wrongdoing ."
371,I Am So Proud of You,"dark shadows are cast over bill's recovery, in this second chapter to everything will be ok.",8.3,"dark shadow cast bill 's recovery , second chapter everything ok ."
372,"Wild Horse, Wild Ride","100 days. 100 gritty souls. 100 wild mustangs. that's the premise of the annual extreme mustang makeover, a competition that challenges horse trainers - both pros and amateurs - to each tame a totally wild horse in order to get it adopted into a better life beyond u.s. government corrals. intimately following a handful of participants in the 2009 event from their first uneasy meeting with their horses and up through the competition and adoption, the film documents the deep and profound bonds that can develop between man and beast.",6.0,"100 day . 100 gritty soul . 100 wild mustang . 's premise annual extreme mustang makeover , competition challenge horse trainer - pro amateur - tame totally wild horse order get adopted better life beyond u.s. government corral . intimately following handful participant 2009 event first uneasy meeting horse competition adoption , film document deep profound bond develop man beast ."
373,Tanner Hall,"tanner hall is a vivid peek into the private world of an all-girls boarding school. in a cozy, but run down new england, the knot of adolescent complexity is unraveled through the coming of age stories of four teen-age girls.",5.4,"tanner hall vivid peek private world all-girls boarding school . cozy , run new england , knot adolescent complexity unraveled coming age story four teen-age girl ."
374,The Life & Adventures of Santa Claus,"the great ak calls a council of the immortals to ask that santa claus be given immortality. and to justify it, he tells the history of santa claus. the ak found an abandoned baby and gave it to a lioness and a fairy to raise, who named him claus. when claus grew up, the great ak showed him the evil and hardship in world and claus decides to live there and relieve some of the suffering. he decides to make toys for orphans, but king agua, the ruler of the valley where claus lives doesn't want the chidren to be happy. and there is a great battle among immortals.",7.0,"great ak call council immortal ask santa claus given immortality . justify , tell history santa claus . ak found abandoned baby gave lioness fairy raise , named claus . claus grew , great ak showed evil hardship world claus decides live relieve suffering . decides make toy orphan , king agua , ruler valley claus life n't want chidren happy . great battle among immortal ."
375,Gold Diggers: The Secret of Bear Mountain,"two teen girls, one from the city, one from the country, try to find the hidden gold of bear mountain learning about friendship, loyalty and courage on the way.",5.8,"two teen girl , one city , one country , try find hidden gold bear mountain learning friendship , loyalty courage way ."
376,Seven Ways from Sundown,"audie murphy is again the kid who puts on a badge to catch the bad guy, skillfully played by barry sullivan. on the way back to town the two develop a curiously close relationship - sullivan passes up several chances to get away - but in the end sullivan ""asks for it"" and murphy obliges.",4.4,"audie murphy kid put badge catch bad guy , skillfully played barry sullivan . way back town two develop curiously close relationship - sullivan pass several chance get away - end sullivan `` asks '' murphy obliges ."
377,Brave Hearts: Umizaru,"mika (riisa naka) is a flight attendant on board an airplane scheduled to land at haneda airport. on the way to the airport the airplane's engine starts to burn. in order to save the 346 people on board the airplane, sea marshall daisuke senzaki (hideaki ito) and his team are called into action ...",5.8,"mika ( riisa naka ) flight attendant board airplane scheduled land haneda airport . way airport airplane 's engine start burn . order save 346 people board airplane , sea marshall daisuke senzaki ( hideaki ito ) team called action ..."
378,Return to Ithaca,sun is setting on havana. five friends are gathered to celebrate the return of amadeo after 16 years of exile in madrid.,5.5,sun setting havana . five friend gathered celebrate return amadeo 16 year exile madrid .
379,Goliath and the Sins of Babylon,goliath battles for the freedom of the babylonian people.,5.5,goliath battle freedom babylonian people .
380,Mahler on the Couch,alma mahler's affair with the young architect walter gropius sets in motion a marital drama that forces her husband gustav mahler to seek advice from sigmund freud.,7.7,alma mahler 's affair young architect walter gropius set motion marital drama force husband gustav mahler seek advice sigmund freud .
381,Ranma ½,"akane is the youngest of three daughters for soun tendo. her father soun tendo runs a dojo for martial arts. akane hopes to carry on her father's dojo into the distant future. meanwhile, akane has been selected to marry ranma, the son of her father's long time friend genma. akane and ranma's relationship has developed into a love and hate relationship. also, ranma isn't your typical boy. while on a training journey ranma fell into the spring of the drowned girl and now changes into a women whenever cold water is splashed on him. warm water will allow him to revert back to a male. problems arise when akane's father declares that the successor to their dojo must be a male. now, akane and ranma (being a man only half of the time) must find a secret spring that can cure him of his curse.",6.0,"akane youngest three daughter soun tendo . father soun tendo run dojo martial art . akane hope carry father 's dojo distant future . meanwhile , akane selected marry ranma , son father 's long time friend genma . akane ranma 's relationship developed love hate relationship . also , ranma n't typical boy . training journey ranma fell spring drowned girl change woman whenever cold water splashed . warm water allow revert back male . problem arise akane 's father declares successor dojo must male . , akane ranma ( man half time ) must find secret spring cure curse ."
382,Queen to Play,"in a small corsican village, the life of hélène, ordinary and single, she works as a maid in a hotel and is married happily with her husband ange and her fifteen year-old daughter. her modest and monotonous life seems to be predetermined... one day while cleaning a hotel room, she meets a young, seductive, american couple which is playing a game of chess. first fascinated and then passionate about the game, hélène learns with great tenacity she studies the rule of the game to perfection. she can count on dr. kröger, who is a mysterious inhabitant, to help her to achieve her goals. but this positive transition towards a liberty for hélène does not go about without deeply changing her relationship with family, friends and inhabitants of the village.",6.5,"small corsican village , life hélène , ordinary single , work maid hotel married happily husband ange fifteen year-old daughter . modest monotonous life seems predetermined ... one day cleaning hotel room , meet young , seductive , american couple playing game chess . first fascinated passionate game , hélène learns great tenacity study rule game perfection . count dr. kröger , mysterious inhabitant , help achieve goal . positive transition towards liberty hélène go without deeply changing relationship family , friend inhabitant village ."
383,The Unfaithful,chris hunter kills an intruder and tells her husband and lawyer it was an act of self-defense. it's later revealed that he was actually her lover and she had posed for an incriminating statue he created.,5.8,chris hunter kill intruder tell husband lawyer act self-defense . 's later revealed actually lover posed incriminating statue created .
384,The Crazy Family,"the kobayashi family finally get the chance to move out of their tiny, cramped tokyo apartment in favour of the suburban house of their dreams. but all is not well: the house is infested by termites and the family starts cracking up: son masaki is studying so obsessively for his exams that he's losing his mind; daughter erika is oblivious of all but her forthcoming record company audition, grandfather yasukuni starts getting world war ii flashbacks and father katsuhiko is so worried about his family's ""sickness"" that he thinks can only be cured by group suicide...",6.4,"kobayashi family finally get chance move tiny , cramped tokyo apartment favour suburban house dream . well : house infested termite family start cracking : son masaki studying obsessively exam 's losing mind ; daughter erika oblivious forthcoming record company audition , grandfather yasukuni start getting world war ii flashback father katsuhiko worried family 's `` sickness '' think cured group suicide ..."
385,Slingshot Hip Hop,the voice of a new generation rocks and rhymes as palestinian rappers form alternative voices of resistance within the israeli-palestinian struggle.,9.0,voice new generation rock rhyme palestinian rapper form alternative voice resistance within israeli-palestinian struggle .
386,Tuintje in mijn hart,"when a mother reunites her family in suriname for christmas, two brothers - one living in holland, one still in suriname - have a hard time to get along with each other after a rumor spreads gold was found in their father's land.",4.3,"mother reunites family suriname christmas , two brother - one living holland , one still suriname - hard time get along rumor spread gold found father 's land ."
387,I'll Do Anything,"matt hobbs is a talented but unsuccessful actor. when estranged (and strange) ex-wife beth dumps their daughter jeannie on matt, father and daughter have a lot of adjusting to do. his budding relationship with attractive production assistant cathy breslow is made complicated, while the precocious child is overly accustomed to getting her own way. matt eventually faces the choice of family vs career in a particularly difficult way.",5.7,"matt hobbs talented unsuccessful actor . estranged ( strange ) ex-wife beth dump daughter jeannie matt , father daughter lot adjusting . budding relationship attractive production assistant cathy breslow made complicated , precocious child overly accustomed getting way . matt eventually face choice family v career particularly difficult way ."
388,The Governess,"when the father of privileged rosina da silva violently dies, she decides to pass herself off as a gentile and finds employment with a family in faraway scotland. soon she and the family father, charles, start a passionate secret affair.",6.8,"father privileged rosina da silva violently dy , decides pas gentile find employment family faraway scotland . soon family father , charles , start passionate secret affair ."
389,She's Gotta Have It,"the story of nola darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. all three men wanted her to commit solely to them; nola resists being ""owned"" by a single partner.",6.2,story nola darling 's simultaneous sexual relationship three different men told partner friend . three men wanted commit solely ; nola resists `` owned '' single partner .
390,Close Your Eyes,"while treating a policewoman for smoking, hypnotherapist michael strother has a telepathic vision of a young girl floating beneath the surface of a stream. the escaped victim of a ritualistic serial killer, the girl has become mute, and michael is called upon by scotland yard to unlock the secrets she holds in order to catch a man who believes he has discovered the key to immortality.",5.6,"treating policewoman smoking , hypnotherapist michael strother telepathic vision young girl floating beneath surface stream . escaped victim ritualistic serial killer , girl become mute , michael called upon scotland yard unlock secret hold order catch man belief discovered key immortality ."
391,The Dirt Bike Kid,"when his mother sends jack off with money to buy groceries, he comes home with a magic supercharged dirt bike instead. his mother is furious, but when jack uses the magic bike to save the local hot dog stand from the clutches of corrupt big business, he becomes the town hero. written by concorde - new horizons (with permission).",5.3,"mother sends jack money buy grocery , come home magic supercharged dirt bike instead . mother furious , jack us magic bike save local hot dog stand clutch corrupt big business , becomes town hero . written concorde - new horizon ( permission ) ."
392,Attraction,a writer/radio advice show host fails to heed his own advice as he stalks his ex-girlfriend and then becomes involved with an actress friend of hers.,6.0,writer/radio advice show host fails heed advice stalk ex-girlfriend becomes involved actress friend .
393,The End of a Vacation,four music videos of kino band joined together with a single plot,0.0,four music video kino band joined together single plot
394,The Decline of Western Civilization,"the los angeles punk music scene circa 1980 is the focus of this film. with alice bag band, black flag, catholic discipline, circle jerks, fear, germs, and x.",7.5,"los angeles punk music scene circa 1980 focus film . alice bag band , black flag , catholic discipline , circle jerk , fear , germ , x ."
395,Blue Is the Warmest Color,"adele's life is changed when she meets emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. in front of others, adele grows, seeks herself, loses herself, finds herself.",7.2,"adele 's life changed meet emma , young woman blue hair , allow discover desire , assert woman adult . front others , adele grows , seek , loses , find ."
396,Puzzled Love,sun from chicago (usa) and lucas from mallorca (spain) meet each other in a students's flat in barcelona. they fall in love and try to enjoy it without thinking of their separation at the term's ending. will their love prevail?,6.0,sun chicago ( usa ) lucas mallorca ( spain ) meet student 's flat barcelona . fall love try enjoy without thinking separation term 's ending . love prevail ?
397,Pier Paolo Pasolini,"a documentary on the life of the late filmmaker, released 20 years after his untimely murder.",0.0,"documentary life late filmmaker , released 20 year untimely murder ."
398,The Mourning Forest,"a caregiver at a small retirement home takes one of her patients for a drive to the country, but the two wind up stranded in a forest where they embark on an exhausting and enlightening two-day journey.",6.2,"caregiver small retirement home take one patient drive country , two wind stranded forest embark exhausting enlightening two-day journey ."
399,Dollar for the Dead,"in this tribute to the old time spaghetti westerns with a liberal dose of modern hong kong film-making thrown in, emilio estevez assumes clint eastwood's ""man with no name"" role. estevez plays a super-quick gunman on the run from a rancher (long) and his men out to kill him for killing his son. the gunman gets mixed up with a former confederate soldier (william forsythe) who has knowledge of hidden gold. the only trouble is he is also pursued by union soldiers. when they free a man (ed lauter) with part of the map to the gold, they then are also pursued by spanish soldiers. it all leads to a small mexican town terrorized by soldiers and led a by a good priest (joaquim de almeida) who also has knowledge of the gold.",5.3,"tribute old time spaghetti western liberal dose modern hong kong film-making thrown , emilio estevez assumes clint eastwood 's `` man name '' role . estevez play super-quick gunman run rancher ( long ) men kill killing son . gunman get mixed former confederate soldier ( william forsythe ) knowledge hidden gold . trouble also pursued union soldier . free man ( ed lauter ) part map gold , also pursued spanish soldier . lead small mexican town terrorized soldier led good priest ( joaquim de almeida ) also knowledge gold ."
400,Either Way,icelandic drama about two remote road-workers.,6.5,icelandic drama two remote road-workers .
401,Ticket Out,about a mother who takes her children and flees an abusive ex-husband with the help of ray liotta's character.,5.2,mother take child flees abusive ex-husband help ray liotta 's character .
402,Cool!,this movie follows a gang of morrocan/dutch youngsters into their criminal career.,3.3,movie follows gang morrocan/dutch youngster criminal career .
403,The Wicker Man,"police sergeant neil howie is called to an island village in search of a missing girl whom the locals claim never existed. stranger still, however, are the rituals that take place there.",7.1,"police sergeant neil howie called island village search missing girl local claim never existed . stranger still , however , ritual take place ."
404,Delirium,"set in a world where love is deemed illegal and can be eradicated with a special procedure. with 95 days to go until her scheduled treatment, lena holoway does the unthinkable, she falls in love.",6.6,"set world love deemed illegal eradicated special procedure . 95 day go scheduled treatment , lena holoway unthinkable , fall love ."
405,The Substitute 2: School's Out,"when teacher randall thomasson is killed during a carjacking, an unexpected visitor shows up at his funeral - his estranged brother, karl thomasson (treat williams). an ex-green beret turned mercenary. karl signs on as a new substitute teacher in order to investigate randall's murder.",5.1,"teacher randall thomasson killed carjacking , unexpected visitor show funeral - estranged brother , karl thomasson ( treat williams ) . ex-green beret turned mercenary . karl sign new substitute teacher order investigate randall 's murder ."
406,Oh My God!,"during the carnival in the historical site of pelourinho (salvador, bahia, brazil), we follow the lives of the tenants of a falling-to-pieces tenement house who try to get by using creativity, irony, humor and music.",6.7,"carnival historical site pelourinho ( salvador , bahia , brazil ) , follow life tenant falling-to-pieces tenement house try get using creativity , irony , humor music ."
407,Oh Dem Watermelons,"commissioned by the san francisco mime troupe as a short to be screened during intermission for its rather infamous 1965 minstrel show (civil rights from the cracker barrel), which assaulted racial stereotypes by wildly exaggerating them.  scored by steve reich.",6.7,"commissioned san francisco mime troupe short screened intermission rather infamous 1965 minstrel show ( civil right cracker barrel ) , assaulted racial stereotype wildly exaggerating . scored steve reich ."
408,The Bride,"sting is doctor frankenstein in this remake of the old classic film bride of frankenstein. after years of research, the doctor finally succeeds in creating the perfect woman, who gets the name ""eva"".",5.4,"sting doctor frankenstein remake old classic film bride frankenstein . year research , doctor finally succeeds creating perfect woman , get name `` eva '' ."
409,"Chill Out, Scooby-Doo!","the gang's vacation to paris takes a wrong turn when scooby and shaggy miss their flight and end up on a skydiving expedition in the himalayas. to make matters worse, upon arrival they must outrun the abominable snowmonster.",6.4,"gang 's vacation paris take wrong turn scooby shaggy miss flight end skydiving expedition himalaya . make matter worse , upon arrival must outrun abominable snowmonster ."
410,American Fable,"when 11-year-old gitty discovers that her father, abe, a good and beloved farmer, is holding a wealthy man hostage in their abandoned silo in order to save their suffering farm, she befriends the captive in secret. as the truth unfolds about who he is and what will happen if he escapes, gitty chooses to confront the thin line between reality and fiction.",6.3,"11-year-old gitty discovers father , abe , good beloved farmer , holding wealthy man hostage abandoned silo order save suffering farm , befriends captive secret . truth unfolds happen escape , gitty chooses confront thin line reality fiction ."
411,Broken Blossoms,broken blossoms is an american silent film from director d. w. griffith. this melodrama tells the love story of an abused english woman and a chinese buddhist in a time when london was a brutal and harsh place to live.,6.9,broken blossom american silent film director d. w. griffith . melodrama tell love story abused english woman chinese buddhist time london brutal harsh place live .
412,Schoolgirl Report Part 2: What Keeps Parents Awake at Night,"after the big success of the first part the film-makers apparently felt pressured to launch a new ""investigation"" and gather new material. therefore, friedrich von thun again ventures out into the streets, this time of berlin, to ask schoolgirls about their sexual experiences. the invinted guests talk about (allegedly) true events. schoolgirls that seduce their teachers, runaway girls that have been robbed and who have to prostitute themselves or innocent girls that have been drugged and raped...",6.8,"big success first part film-makers apparently felt pressured launch new `` investigation '' gather new material . therefore , friedrich von thun venture street , time berlin , ask schoolgirl sexual experience . invinted guest talk ( allegedly ) true event . schoolgirl seduce teacher , runaway girl robbed prostitute innocent girl drugged raped ..."
413,Pirates of the Great Salt Lake,"kirk redgrave and flint weaver met only three weeks ago. but that hasn't stopped them from becoming the greatest pirates the great salt lake has ever known. still, pirate life isn't all that it's cracked up to be. for kirk, it's a life of failure. for flint, one without reward. that is until they stumble across a long lost treasure map that has the power to not only fulfill their wildest pirate dreams but curse them as well",5.0,"kirk redgrave flint weaver met three week ago . n't stopped becoming greatest pirate great salt lake ever known . still , pirate life n't 's cracked . kirk , 's life failure . flint , one without reward . stumble across long lost treasure map power fulfill wildest pirate dream curse well"
414,Simon's Cat,simon's cat follows the silent-movie-like adventures of a cat and his owner and lots of others.,7.0,simon 's cat follows silent-movie-like adventure cat owner lot others .
415,Vox Populi,"vox populi is a black comedy about an experienced politician suffering from a midlife crisis. when he comes into contact with the common-man's logic of his new in-laws, this has a far-reaching effect on both his political and his personal life.",7.3,"vox populi black comedy experienced politician suffering midlife crisis . come contact common-man 's logic new in-law , far-reaching effect political personal life ."
416,High Tide,"set in the future when much of central europe has suffered ecological destruction and only small groups of survivors remain, a lost norwegian reporter stumbles upon one such group and is quickly drawn into a drama involving a beautiful christian missionary who's being held prisoner.",0.0,"set future much central europe suffered ecological destruction small group survivor remain , lost norwegian reporter stumble upon one group quickly drawn drama involving beautiful christian missionary 's held prisoner ."
417,The Staple of News,"written in 1625 by the british playwright ben jonson, the play “the staple of news” provides a historic root for this discussion about the role of the press in modern day brazil. journalists of several generations discuss the dilemmas of the selection and focus of their subjects, the resistance of the media in accepting itself as a political agent (though it has had a crucial role in influencing and forming the public opinion), the inevitability of interpretation as there are no hard facts in nature, and (above all) the search for an always complex balance between credibility and the public’s growing demand for news, which brings some organs to approach the realm of entertainment.",8.0,"written 1625 british playwright ben jonson , play “ staple news ” provides historic root discussion role press modern day brazil . journalist several generation discus dilemma selection focus subject , resistance medium accepting political agent ( though crucial role influencing forming public opinion ) , inevitability interpretation hard fact nature , ( ) search always complex balance credibility public ’ growing demand news , brings organ approach realm entertainment ."
418,Prey,"one night, several deer hurl themselves unexpectedly against the electric fence of a farm. seeing deep signs of biting on the animals’ bodies, the farm owners realise that a predator is roaming about the neighbouring woods. having determined to hunt it down, the farmer and his family penetrate deep into the surrounding forest. they look with bewilderment at the dying environment ravaged by a mysterious evil force. as the sun slowly sinks away, howling resounds through the forest. the hunters have become prey...",5.1,"one night , several deer hurl unexpectedly electric fence farm . seeing deep sign biting animal ’ body , farm owner realise predator roaming neighbouring wood . determined hunt , farmer family penetrate deep surrounding forest . look bewilderment dying environment ravaged mysterious evil force . sun slowly sink away , howling resounds forest . hunter become prey ..."
419,Carnival of Sinners,"roland brissot bought for a nickel a talisman that gives him love, fame and wealth. the talisman is a cut left hand, and it works perfectly. but of course there is nothing free in this world, and after one year the devil comes and asks for his due... written by yepok",7.3,"roland brissot bought nickel talisman give love , fame wealth . talisman cut left hand , work perfectly . course nothing free world , one year devil come asks due ... written yepok"
420,Vamp U,"wayne gretzky (no relation) is a vampire who can't grow his teeth. his impotence began when he inadvertently killed mary lipinsky, the love of his life, 300 years ago. to take his mind off the pain, he teaches college history - who better? attempting to regain his full power, he enlists help from his friend and colleague, dr. levine (gary cole). nothing works until a new semester brings freshman chris keller. she's a dead ringer for mary and they have a lurid affair, while rumors fly around the campus. but it all sours when he turns chris into a vampire and her newfound bloodlust spins out of control in a bloody rampage, making the rumors a little too real. written by anonymous",4.7,"wayne gretzky ( relation ) vampire ca n't grow teeth . impotence began inadvertently killed mary lipinsky , love life , 300 year ago . take mind pain , teach college history - better ? attempting regain full power , enlists help friend colleague , dr. levine ( gary cole ) . nothing work new semester brings freshman chris keller . 's dead ringer mary lurid affair , rumor fly around campus . sour turn chris vampire newfound bloodlust spin control bloody rampage , making rumor little real . written anonymous"
421,Extreme Private Eros: Love Song 1974,"in 1972, miyuki tells her ex-lover kazuo that she's going to okinawa with their son. kazuo decides to film her. he narrates his visits to her there: first while her flatmate is sugako, a woman miyuki is attracted to; then, while she works at a bar and is with paul, an african-american soldier. once, kazuo brings his girlfriend, sachiko. we see miyuki with her son, with other bar girls, and with sachiko. miyuki, pregnant, returns to tokyo and delivers a mixed-race child on her own with kazuo and sachiko filming. she joins a women's commune, talks about possibilities, enjoys motherhood, and is uninterested in a traditional family. does the filmmaker have a point of view?",7.6,"1972 , miyuki tell ex-lover kazuo 's going okinawa son . kazuo decides film . narrates visit : first flatmate sugako , woman miyuki attracted ; , work bar paul , african-american soldier . , kazuo brings girlfriend , sachiko . see miyuki son , bar girl , sachiko . miyuki , pregnant , return tokyo delivers mixed-race child kazuo sachiko filming . join woman 's commune , talk possibility , enjoys motherhood , uninterested traditional family . filmmaker point view ?"
422,Talk to Me,"the story of washington d.c. radio personality ralph ""petey"" greene, an ex-con who became a popular talk show host and community activist in the 1960s.",7.1,"story washington d.c. radio personality ralph `` petey '' greene , ex-con became popular talk show host community activist 1960s ."
423,There's a Girl in My Soup,"tv personality robert danvers, an exceedingly vain rotter, seduces young women daily, never staying long with one. he meets his match in marion, an american, 19, who's available but refuses any romantic illusions.",5.9,"tv personality robert danvers , exceedingly vain rotter , seduces young woman daily , never staying long one . meet match marion , american , 19 , 's available refuse romantic illusion ."
424,Buud Yam,"in an early 19th century african village, wend kuuni - a young man, lives with his adopted family after his mother was killed as a witch. when pughneere - his adopted sister - becomes ill, the villagers suspect wend kuuni. in order to save pughneere's life (and his own) he must set out on a journey to find a healer. his quest brings him in contact with people around him and is a journey of self-discovery.",5.0,"early 19th century african village , wend kuuni - young man , life adopted family mother killed witch . pughneere - adopted sister - becomes ill , villager suspect wend kuuni . order save pughneere 's life ( ) must set journey find healer . quest brings contact people around journey self-discovery ."
425,Slow Burn,"a district attorney (ray liotta) is involved in a 24-hour showdown with a gang leader (ll cool j) and is, at the same time, being manipulated by an attractive assistant district attorney (jolene blalock) and a cryptic stranger.",5.5,"district attorney ( ray liotta ) involved 24-hour showdown gang leader ( cool j ) , time , manipulated attractive assistant district attorney ( jolene blalock ) cryptic stranger ."
426,Once Upon a Time in Mexico,"hitman ""el mariachi"" becomes involved in international espionage involving a psychotic cia agent and a corrupt mexican general.",6.2,hitman `` el mariachi '' becomes involved international espionage involving psychotic cia agent corrupt mexican general .
427,Sharktopus,"the u.s. navy's special group ""blue water"" builds a half-shark, half-octopus for combat. but the sharktopus escapes and terrorizes the beaches of puerto vallarta.",4.7,"u.s. navy 's special group `` blue water '' build half-shark , half-octopus combat . sharktopus escape terrorizes beach puerto vallarta ."
428,Dear Frankie,"nine-year-old frankie and his single mum lizzie have been on the move ever since frankie can remember, most recently arriving in a seaside scottish town. wanting to protect her deaf son from the truth that they've run away from his father, lizzie has invented a story that he is away at sea on the hms accra. every few weeks, lizzie writes frankie a make-believe letter from his father, telling of his adventures in exotic lands. as frankie tracks the ship's progress around the globe, he discovers that it is due to dock in his hometown. with the real hms accra arriving in only a fortnight, lizzie must choose between telling frankie the truth or finding the perfect stranger to play frankie's father for just one day...",7.1,"nine-year-old frankie single mum lizzie move ever since frankie remember , recently arriving seaside scottish town . wanting protect deaf son truth 've run away father , lizzie invented story away sea hm accra . every week , lizzie writes frankie make-believe letter father , telling adventure exotic land . frankie track ship 's progress around globe , discovers due dock hometown . real hm accra arriving fortnight , lizzie must choose telling frankie truth finding perfect stranger play frankie 's father one day ..."
429,The Pirates,"on the eve of the founding of the joseon dynasty, a whale swallows the emperor's seal of state being brought to joseon by envoys from china. with a big reward on whoever brings back the royal seal, mountain bandits led by jang sa-jung go out to sea to hunt down the whale. but he soon clashes with yeo-wol, a female captain of pirates, and unexpected adventure unfolds.",6.4,"eve founding joseon dynasty , whale swallow emperor 's seal state brought joseon envoy china . big reward whoever brings back royal seal , mountain bandit led jang sa-jung go sea hunt whale . soon clash yeo-wol , female captain pirate , unexpected adventure unfolds ."
430,Abbott and Costello Meet Captain Kidd,"two hapless waiters in a tavern on the spanish main play cupid between aristocratic lady jane and tavern co-worker bruce martindale, but the two bumpkins mix-up a love letter with captain kidd's treasure map of skull island, leading to them being kidnapped and taken off to the notorious pirate's island.",6.2,"two hapless waiter tavern spanish main play cupid aristocratic lady jane tavern co-worker bruce martindale , two bumpkin mix-up love letter captain kidd 's treasure map skull island , leading kidnapped taken notorious pirate 's island ."
431,Namastey London,"indian-born manmohan malhotra decided to re-locate to london, england, established himself, returned to india, got married to bebo, and after a period of 4 years got a visa for her so that she could live with him. shortly thereafter she gave birth to jasmeet. manmohan was always embarrassed of bebo, as she was overly healthy and not quite sophisticated, as a result he always left her at home, while he socialized. bebo did not want jasmeet to end up like her, so got her admitted in an english medium school, encouraged to mingle with caucasian friends, and as a result jasmeet was transformed in to jazz - a stunningly beautiful young woman, british in looks, talk, habits, and heart. manmohan's plans to get her married to an indian boy are all in vain. his friend, parvez khan, is in a similar situation with his son, imran, openly romancing a caucasian blonde, susan. manmohan decides to take his family for a tour in india...",6.6,"indian-born manmohan malhotra decided re-locate london , england , established , returned india , got married bebo , period 4 year got visa could live . shortly thereafter gave birth jasmeet . manmohan always embarrassed bebo , overly healthy quite sophisticated , result always left home , socialized . bebo want jasmeet end like , got admitted english medium school , encouraged mingle caucasian friend , result jasmeet transformed jazz - stunningly beautiful young woman , british look , talk , habit , heart . manmohan 's plan get married indian boy vain . friend , parvez khan , similar situation son , imran , openly romancing caucasian blonde , susan . manmohan decides take family tour india ..."
432,Foxfire,the story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. they build a solid friendship but their wild ways begin to get out of control.,6.3,story five teenage girl form unlikely bond beating teacher sexually harassed . build solid friendship wild way begin get control .
433,April Love,"a teenager (pat boone), recently in trouble with the police, is sent to live with his aunt and uncle on their kentucky farm in order to rediscover life's values. director henry levin's 1957 musical remake of ""home in indiana"" also stars shirley jones, arthur o'connell, jeanette nolan and dolores michaels.",6.6,"teenager ( pat boone ) , recently trouble police , sent live aunt uncle kentucky farm order rediscover life 's value . director henry levin 's 1957 musical remake `` home indiana '' also star shirley jones , arthur o'connell , jeanette nolan dolores michael ."
434,Hellions,a teen faces a night of terror when three malevolent trick-or-treaters come knocking at her door.,3.8,teen face night terror three malevolent trick-or-treaters come knocking door .
435,Radio On,"set in 1970s britain, a man drives from london to bristol to investigate his brother's death. the purpose of his trip is offset by his encounters with a series of odd people.",5.0,"set 1970s britain , man drive london bristol investigate brother 's death . purpose trip offset encounter series odd people ."
436,W.A.R.: Women Against Rape,"when a man dodges conviction after raping multiple women, his victims take justice into their own hands.",4.0,"man dodge conviction raping multiple woman , victim take justice hand ."
